wo_id,lab_id,lab_name
DBN-2500001,PB4203B,ASC
DBN-2500001,PBZ30,OTHERS 3
DBN-2500002,PB4203B,ASC
DBN-2500002,PBZ03,OTHERS 0.3
DBN-2500002,PBZ70,OTHERS 7
DBN-2500003,PB4203B,ASC
DBN-2500003,PBZ27,OTHERS 2.7
DBN-2500004,PB4203A,CUCI BODY (FREE)
DBN-2500004,PBZA,OTHERS 10
DBN-2500005,PB4203B,ASC
DBN-2500005,PBZB,OTHERS 15
DBN-2500006,PB4203B,ASC
DBN-2500007,PB4203B,ASC
DBN-2500007,PBZ40,OTHERS 4
DBN-25010100008,PB4203B,ASC
DBN-25010100008,PBZ50,OTHERS 5
DBN-25010100009,PB4203B,ASC
DBN-25010100009,PBZ40,OTHERS 4
DBR-2500001,FR00200,OTHERS (WSC) 20 JAM
DBR-2500001,PB4203B,ASC
DBR-2500002,FR000004,OTHERS (WSC) 0.04 JAM
DBR-2500002,FR00006,OTHERS (WSC) 0.6 JAM
DBR-2500002,FR00080,OTHERS (WSC) 8 JAM
DBR-2500002,PB4203B,ASC
DBR-2500003,BR023F,GLASS WINDSHIELD W/O SEALER (R+/X)
DBR-2500003,PB4203B,ASC
DBR-2500004,BR023F,GLASS WINDSHIELD W/O SEALER (R+/X)
DBR-2500004,PB4203B,ASC
DBR-2500005,FR00010,OTHERS (WSC) 1 JAM
DBR-2500005,PB4203B,ASC
DBR-2500006,BS005,BAUT CARTER
DBR-2500006,PB4203B,ASC
DBR-2500007,FR00030,OTHERS (WSC) 3 JAM
DBR-2500007,PB4203B,ASC
DBR-2500008,BRZ01,OTHERS 0.1 PC PC2 BP
DBR-2500008,BRZ02,OTHERS 0.2 PC PC2 BP
DBR-2500008,PB4203B,ASC
DBR-2500009,BR023F,GLASS WINDSHIELD W/O SEALER (R+/X) PC PC2 BP
DBR-2500009,PB4203B,ASC
DBR-2500010,BRZ07,OTHERS 0.7 PC PC2 BP
DBR-2500010,PB4203B,ASC
DBR-2500011,BRZ02,OTHERS 0.2
DBR-2500011,PB4203B,ASC
DBR-25010100012,BR001F,BUMPER FR (R) PC PC2 BP
DBR-25010100012,BR001R,BUMPER RR (R) PC PC2 BP
DBR-25010100012,PB4203B,ASC
DBR-25010100013,BR001F,BUMPER FR (R) PC PC2 BP
DBR-25010100013,BR001R,BUMPER RR (R) PC PC2 BP
DBR-25010100013,BRZ01,GARNISH PINTU BAGASI
DBR-25010100013,FR000002,OTHERS (WSC) 0.02 JAM
DBR-25010100013,FR00001,OTHERS (WSC) 0.1JAM
DBR-25010100013,FR00008,OTHERS (WSC) 0.8 JAM
DBR-25010100013,FR00020,OTHERS (WSC) 2 JAM
DBR-25010100013,FR00100,OTHERS (WSC) 10 JAM
DBR-25010100013,FR00500,OTHERS (WSC) 50 JAM
DBR-25010100013,PB4203B,ASC
